ORF,Name,Allele,Strain ID,Num_cells,Num_cells_outliers,Penetrance,normal,Cluster_normal-0,Cluster_normal-1,Cluster_normal-10,Cluster_normal-2,Cluster_normal-3,Cluster_normal-4,Cluster_normal-5,Cluster_normal-6,Cluster_normal-7,Cluster_normal-8,Cluster_normal-9
YMR120C,ADE17,,dma3718,347,86,0.2478386167146974,1.0,0.0,0.0,0.1162790697674418,0.0,0.3837209302325581,0.0697674418604651,0.2209302325581395,0.0,0.0,0.0348837209302325,0.1744186046511628
YNL241C,ZWF1,,dma4109,112,37,0.3303571428571428,1.0,0.0,0.0,0.1081081081081081,0.0,0.4054054054054054,0.1081081081081081,0.3243243243243243,0.0,0.0,0.027027027027027,0.027027027027027
YNL199C,GCR2,,dma4071,60,38,0.6333333333333333,1.0,0.0,0.0,0.131578947368421,0.0,0.3684210526315789,0.0789473684210526,0.3157894736842105,0.0,0.0,0.0263157894736842,0.0789473684210526
YNL315C,ATP11,,dma4168,126,64,0.5079365079365079,1.0,0.0,0.0,0.171875,0.0,0.5,0.0625,0.203125,0.0,0.0,0.015625,0.046875
YNL179C,,,dma4060,147,48,0.3265306122448979,1.0,0.0,0.0,0.1666666666666666,0.0,0.5,0.0208333333333333,0.2083333333333333,0.0,0.0,0.0625,0.0416666666666666
YOL045W,PSK2,,dma4344,595,139,0.2336134453781512,1.0,0.0,0.0,0.1079136690647482,0.0,0.5683453237410072,0.079136690647482,0.1366906474820144,0.0,0.0,0.0575539568345323,0.0503597122302158
YJR057W,CDC8,cdc8-2,tsa22-37C,34,28,0.8235294117647058,1.0,0.0,0.0357142857142857,0.25,0.1071428571428571,0.0714285714285714,0.0,0.4285714285714285,0.0714285714285714,0.0,0.0357142857142857,0.0
YER125W,RSP5,rsp5-1,tsa182-37C,296,84,0.2837837837837837,1.0,0.0952380952380952,0.0357142857142857,0.0833333333333333,0.1071428571428571,0.0,0.0714285714285714,0.119047619047619,0.1666666666666666,0.1666666666666666,0.0476190476190476,0.1071428571428571
YCR093W,CDC39,cdc39-1,tsa93-37C,956,757,0.7918410041841004,1.0,0.0303830911492734,0.0171730515191545,0.0290620871862615,0.4504623513870541,0.1083223249669749,0.0409511228533685,0.1149273447820343,0.0752972258916776,0.0211360634081902,0.0171730515191545,0.095112285336856
YHR191C,CTF8,ctf8-162,tsa322-37C,163,116,0.7116564417177914,1.0,0.0517241379310344,0.1120689655172413,0.0258620689655172,0.1034482758620689,0.0517241379310344,0.1293103448275862,0.1379310344827586,0.2068965517241379,0.0172413793103448,0.0,0.1637931034482758
