ORF,Name,Allele,Strain ID,Num_cells,Num_cells_outliers,Penetrance,normal,Cluster_normal-0,Cluster_normal-1,Cluster_normal-2,Cluster_normal-3,Cluster_normal-4,Cluster_normal-5,Cluster_normal-6,Cluster_normal-7,Cluster_normal-8,Cluster_normal-9
YLR314C,CDC3,cdc3-3,tsa130-37C,932,206,0.2210300429184549,1.0,0.1213592233009708,0.0,0.0436893203883495,0.1116504854368932,0.0,0.3834951456310679,0.0825242718446602,0.0,0.1019417475728155,0.1553398058252427
YDL017W,CDC7,cdc7-4,tsa131-37C,729,207,0.2839506172839506,1.0,0.0483091787439613,0.0048309178743961,0.0821256038647343,0.0241545893719806,0.0,0.2801932367149758,0.1497584541062802,0.0,0.178743961352657,0.2318840579710145
YFL039C,ACT1,act1-122,tsa219-37C,457,113,0.2472647702407002,1.0,0.0265486725663716,0.0,0.1769911504424778,0.0088495575221238,0.0,0.1415929203539823,0.1946902654867256,0.0,0.247787610619469,0.2035398230088495
YDR168W,CDC37,cdc37-1,tsa317-37C,918,238,0.2592592592592592,1.0,0.0630252100840336,0.0168067226890756,0.0210084033613445,0.1134453781512605,0.0,0.4201680672268907,0.0546218487394958,0.0,0.2100840336134453,0.1008403361344537
YIR022W,SEC11,sec11-2,tsa318-37C,334,177,0.5299401197604791,1.0,0.0056497175141242,0.1016949152542373,0.0338983050847457,0.1412429378531073,0.0,0.2937853107344633,0.0282485875706214,0.0,0.3559322033898305,0.03954802259887
YPL094C,SEC62,sec62-ts,tsa224-37C,231,61,0.264069264069264,1.0,0.0163934426229508,0.0,0.1639344262295081,0.0,0.0,0.2295081967213114,0.1967213114754098,0.0,0.2131147540983606,0.180327868852459
YGR113W,DAM1,dam1-11,tsa240-37C,819,178,0.2173382173382173,1.0,0.0337078651685393,0.0,0.095505617977528,0.0168539325842696,0.0,0.2303370786516854,0.1853932584269663,0.0,0.0730337078651685,0.3651685393258427
YDR166C,SEC5,sec5-24,tsa51-37C,603,319,0.5290215588723052,1.0,0.0250783699059561,0.0219435736677116,0.0783699059561128,0.1755485893416928,0.0031347962382445,0.1065830721003134,0.0815047021943573,0.0,0.4796238244514106,0.0282131661442006
YMR079W,SEC14,sec14-3,tsa53-37C,1030,527,0.5116504854368932,1.0,0.0151802656546489,0.0436432637571157,0.0910815939278937,0.064516129032258,0.0,0.1612903225806451,0.0948766603415559,0.0,0.4535104364326375,0.0759013282732447
YBR080C,SEC18,sec18-1,tsa54-37C,620,352,0.567741935483871,1.0,0.0142045454545454,0.0056818181818181,0.1022727272727272,0.0539772727272727,0.0,0.1335227272727272,0.15625,0.0,0.4261363636363636,0.1079545454545454
